iter	RMSE
184	299.5547631
185	299.1700949
186	298.7867427
187	298.4999887
188	298.2808388
189	297.8373366
190	297.2927616
191	296.8960759
192	296.5641972
193	296.1952928
194	295.480407
195	294.906457
196	294.4558587
197	293.9818064
198	293.4616677
199	292.9257347
200	292.5520335
201	292.3699481
202	291.7605724
203	291.3876962
204	290.9222094
205	290.5489611
206	289.8900219
207	289.4111036
208	289.2377709
209	288.6531543
210	287.81136
211	287.3773226
212	287.187181
213	286.7589984
214	286.3462605
215	285.8947063
216	285.5607064
217	285.1760628
218	285.0038288
219	284.6632687
220	284.3861032
221	284.0990155
222	283.8626018
223	283.6371096
224	283.176308
225	282.7515354
226	282.3640235
227	282.2376819
228	281.9709834
229	281.574851
230	281.1789068
231	280.8519726
232	280.3659324
233	279.9894422
234	279.786871
235	279.3116029
236	278.6276466
237	278.2169123
238	277.7412411
239	277.1252401
240	276.7645254
241	276.3031815
242	275.8278498
243	275.3996908
244	275.2299996
245	274.860556
246	274.7115982
247	274.1982768
248	273.7775191
249	273.3323119
250	273.0804063
251	272.4319954
252	272.0374731
253	271.607128
254	271.3308357
255	270.9439455
256	270.4056393
257	269.9750814
258	269.6302983
259	269.3561736
260	268.9698027
261	268.5284021
262	268.2951207
263	267.9328838
264	267.5855446
265	267.2653777
266	267.0135479
267	266.5042821
268	266.1845218
269	265.9606259
270	265.7883741
271	265.4887296
272	265.2632028
273	264.6704753
274	264.1773374
275	264.0266426
276	263.6358344
277	263.466514
278	262.9700385
279	262.530225
280	262.1843334
281	261.8463233
282	261.5535616
283	261.3739368
284	261.0369142
285	260.8753635
286	260.720857
287	260.5391345
288	260.0714079
289	259.7377693
290	259.5087057
291	259.2351864
292	259.0839502
293	258.882168
294	258.5795091
295	258.3281756
296	257.8993183
297	257.5672187
298	257.1246873
299	256.8694336
300	256.6502268
301	256.5874573
302	256.228569
303	255.9853093
304	255.5328797
305	255.0780144
306	254.5889994
307	254.312374
308	254.1884652
309	253.8813449
310	253.6849857
311	253.2237819
312	253.0758705
313	252.6920046
314	252.4768295
315	252.0832584
316	251.6658663
317	251.2305836
318	250.7739826
319	250.4944462
320	250.0492007
321	249.7074687
322	249.3588284
323	249.1078059
324	248.9920561
325	248.6280049
326	248.2655513
327	247.9719739
328	247.4750162
329	247.1929286
330	246.9055211
331	246.7049742
332	246.4617604
333	246.394599
334	245.9988669
335	245.5349343
336	245.1789277
337	244.8246498
338	244.6162416
339	244.4126518
340	244.1332416
341	244.0415775
342	243.8670625
343	243.5934091
344	243.2932537
345	242.9664253
346	242.6995886
347	242.5285867
348	242.3599119
349	242.249843
350	242.0724916
351	241.8089508
352	241.5509658
353	241.2050454
354	240.9315717
355	240.693201
356	240.1851178
357	239.9288993
358	239.5783509
359	239.3659885
360	239.1121728
361	238.8796484
362	238.6196162
363	238.4647178
364	238.2590391
365	238.0730157
366	237.8555716
367	237.7357949
368	237.5046977
369	237.3041834
370	236.9617996
371	236.7292544
372	236.4206396
373	236.1747281
374	235.7821141
375	235.6636399
376	235.4198486
377	235.1951659
378	235.0949192
379	234.745089
380	234.4098307
381	234.0572443
382	233.6543825
383	233.3049484
384	232.9320396
385	232.6468914
386	232.4193484
387	232.234839
388	231.9866113
389	231.8190829
390	231.4437869
391	231.2248846
392	230.9458226
393	230.6233059
394	230.4721324
395	230.1224784
396	229.8154276
397	229.5892725
398	229.3453463
399	229.0384827
400	228.8691815
401	228.5517489
402	228.386964
403	228.1459344
404	227.9588569
405	227.8023949
406	227.5829939
407	227.3938167
408	227.260216
409	227.0513163
410	226.8593699
411	226.6876359
412	226.4504719
413	226.2875878
414	226.0757645
415	225.8710165
416	225.6962913
417	225.4505893
418	225.0185927
419	224.822364
420	224.7502134
421	224.5899679
422	224.2464768
423	223.9530927
424	223.6092554
425	223.3645101
426	223.0531198
427	222.8709452
428	222.7601351
429	222.5937924
430	222.3021512
431	222.1860591
432	221.9166904
433	221.8316482
434	221.6672527
435	221.41675
436	221.2734157
437	221.035949
438	220.8991524
439	220.6765214
440	220.517104
441	220.3809913
442	220.2020269
443	220.126705
444	219.9165377
445	219.7620008
446	219.6554038
447	219.4634415
448	219.1402612
449	218.9881989
450	218.5912788
451	218.4744803
452	218.1836519
453	217.9804979
454	217.7931003
455	217.611578
456	217.5059264
457	217.2664651
458	217.0749719
459	216.934521
460	216.7827372
461	216.5074012
462	216.3446212
463	216.087271
464	215.9307448
465	215.804202
466	215.5518352
467	215.3092197
468	215.01759
469	214.9419505
470	214.4749526
471	214.2703284
472	213.9754483
473	213.5604584
474	213.3861855
475	213.2094581
476	212.9715465
477	212.5548041
478	212.3621582
479	212.268371
480	212.0073106
481	211.8253785
482	211.5046299
483	211.4037112
484	211.2640631
485	211.031235
486	210.7624818
487	210.65056
488	210.4210096
489	210.19734
490	210.0620714
491	209.8682559
492	209.6952368
493	209.5064158
494	209.311373
495	209.1369196
496	208.748514
497	208.4497413
498	208.3460165
499	208.1271339
500	208.0556398
501	207.8480658
502	207.6407003
503	207.4353468
504	207.2392432
505	207.0820324
506	206.9280713
507	206.7665653
508	206.6496444
509	206.4803849
510	206.4048884
511	206.0976825
512	205.7854268
513	205.5641129
514	205.3460443
515	205.1917363
516	204.9332994
517	204.6772408
518	204.3762174
519	204.0283984
520	203.7604195
521	203.4453515
522	203.2929772
523	203.0983925
524	202.9338392
525	202.6777321
526	202.5785143
527	202.2451252
528	202.0874622
529	201.8606282
530	201.6089285
531	201.4656932
532	201.3241691
533	201.1289083
534	200.8573483
535	200.7368375
536	200.655546
537	200.4065294
538	200.1799461
539	200.0137236
540	199.8529402
541	199.6194075
542	199.5341768
543	199.3829901
544	199.1122411
545	198.9156121
546	198.7980632
547	198.6830608
548	198.404831
549	198.278779
550	198.1497389
551	197.9405464
552	197.6775941
553	197.3193664
554	197.1364542
555	197.0250519
556	196.9209901
557	196.6565868
558	196.5464327
559	196.4211013
560	196.3176428
561	196.1747831
562	195.8764815
563	195.7613506
564	195.57873
565	195.4950733
566	195.2182641
567	195.0337315
568	194.8024207
569	194.585497
570	194.4422895
571	194.3525876
572	194.0964058
573	193.8523256
574	193.6486379
575	193.4925732
576	193.3579114
577	193.2106903
578	192.9560182
579	192.9184123
580	192.6918934
581	192.5155915
582	192.354268
583	192.2650683
584	192.1203345
585	191.9470901
586	191.8452337
587	191.6854593
588	191.4365928
589	191.3668477
590	191.2758392
591	191.1195445
592	190.932309
593	190.8206092
594	190.5272552
595	190.253471
596	190.1987392
597	190.0295029
598	189.8102179
599	189.6057618
600	189.3895834
601	189.283176
602	189.2007749
603	188.9635611
604	188.6963133
605	188.4948688
606	188.2442452
607	188.0397611
608	187.9372767
609	187.779573
610	187.6033385
611	187.5065784
612	187.4385287
613	187.1850106
614	187.0468725
615	186.9814765
616	186.8979151
617	186.8077915
618	186.6094957
619	186.4200948
620	186.2753869
621	186.2334241
622	186.1323419
623	185.8727412
624	185.6707183
625	185.514594
626	185.388203
627	185.2362691
628	185.1073084
629	185.0876504
630	184.9915926
631	184.8721029
632	184.6555769
633	184.5398129
634	184.390149
635	184.2345432
636	183.9702431
637	183.7837979
638	183.7028266
639	183.5553621
640	183.497668
641	183.2277908
642	183.0739596
643	182.9515949
644	182.8824645
645	182.7696298
646	182.5903773
647	182.4899603
648	182.3876488
649	182.2373415
650	181.8514521
651	181.7449286
652	181.5378598
653	181.3545807
654	181.1776222
655	180.935093
656	180.8012675
657	180.6991496
658	180.6475637
659	180.4605445
660	180.2633044
661	180.2101935
662	180.1410718
663	179.8737438
664	179.7779405
665	179.7201142
666	179.5354301
667	179.4196046
668	179.396623
669	179.2440509
670	179.0464042
671	178.8274579
672	178.6711925
673	178.6394
674	178.5535509
675	178.5163587
676	178.323007
677	178.3051193
678	178.1558289
679	177.8986987
680	177.7395627
681	177.5247702
682	177.3410367
683	177.2186722
684	177.1575921
685	177.00709
686	176.7170132
687	176.5995005
688	176.4133989
689	176.3286188
690	176.2342645
691	176.1762707
692	176.013095
693	175.9621983
694	175.8435611
695	175.6858113
696	175.5902172
697	175.3786284
698	175.332481
699	175.1218465
700	174.8969663
701	174.7790518
702	174.6621679
703	174.572594
704	174.4612973
705	174.1946631
706	173.9752866
707	173.8730501
708	173.7316315
709	173.6202572
710	173.4528697
711	173.339082
712	173.2078478
713	173.0106049
714	172.8634366
715	172.7956816
716	172.5963048
717	172.454061
718	172.3459127
719	172.2854728
720	172.1657662
721	172.0744395
722	171.887305
723	171.7375557
724	171.5905815
725	171.4392738
726	171.3320014
727	171.3014688
728	171.1793154
729	171.0533361
730	170.9250755
731	170.7529258
732	170.6173577
733	170.5287802
734	170.4071002
735	170.3267424
736	170.2075544
737	170.1797214
738	170.0680059
739	169.9035684
740	169.7747652
741	169.7240819
742	169.5643482
743	169.3871023
744	169.3246143
745	169.1755699
746	169.0339322
747	168.9205861
748	168.7014989
749	168.5419917
750	168.4259585
751	168.3446977
752	168.2133831
753	168.1653314
754	168.1389134
755	167.9713652
756	167.7599125
757	167.6287648
758	167.4474782
759	167.3344772
760	167.2480964
761	167.1544945
762	167.0105976
763	166.8062719
764	166.681264
765	166.5591303
766	166.4516139
767	166.2973291
768	166.1490229
769	165.9627816
770	165.8038111
771	165.7792081
772	165.7048317
773	165.6146502
774	165.4789774
775	165.3728007
776	165.2668416
777	165.1037826
778	165.0301268
779	164.859038
780	164.755384
781	164.6626208
782	164.4527267
783	164.261306
784	164.2159894
785	164.0892303
786	163.9908419
787	163.816181
788	163.7189625
789	163.7004508
790	163.6306837
791	163.4949591
792	163.3203719
793	163.2061063
794	163.1456778
795	162.9378959
796	162.8260161
797	162.6733484
798	162.586047
799	162.4455488
800	162.207775
801	162.0978005
802	162.0767568
803	161.8973566
804	161.799895
805	161.7174526
806	161.6266623
807	161.6072934
808	161.5123195
809	161.3679933
810	161.3240968
811	161.2460922
812	161.048404
813	160.9025473
814	160.8376127
815	160.7548228
816	160.7287159
817	160.6926223
818	160.5633712
819	160.4710871
820	160.3761579
821	160.3249385
822	160.2315426
823	160.1530001
824	160.0431861
825	160.0002001
826	159.9312465
827	159.8298469
828	159.6702323
829	159.5310457
830	159.4282039
831	159.3269293
832	159.1630079
833	158.9450232
834	158.7674212
835	158.6466104
836	158.5801114
837	158.3661911
838	158.3370106
839	158.2579909
840	158.1661141
841	158.0471299
842	158.0192375
843	157.8969474
844	157.797126
845	157.7255628
846	157.5891691
847	157.5441226
848	157.3498285
849	157.2398391
850	157.0376028
851	156.9658623
852	156.9372397
853	156.8314841
854	156.643782
855	156.6286922
856	156.5261406
857	156.4354294
858	156.3267359
859	156.2126786
860	156.1042741
861	155.9870394
862	155.9041723
863	155.8628682
864	155.6982245
865	155.5765446
866	155.4920626
867	155.3858847
868	155.1856643
869	154.9582939
870	154.7991812
871	154.6909935
872	154.5852605
873	154.4813486
874	154.3352258
875	154.1704473
876	154.0023295
877	153.8591864
878	153.7516134
879	153.7052818
880	153.6304663
881	153.6151178
882	153.4236869
883	153.4088818
884	153.3833726
885	153.3055616
886	153.2088224
887	153.0542773
888	152.974211
889	152.887711
890	152.8078156
891	152.7568034
892	152.6563235
893	152.5548266
894	152.480856
895	152.43431
896	152.3213019
897	152.160588
898	152.068175
899	151.9182017
900	151.8019017
901	151.6377159
902	151.4487892
903	151.3161169
904	151.2422288
905	151.1791684
906	151.0780931
907	150.9553881
908	150.8582352
909	150.7510025
910	150.6446231
911	150.541146
912	150.4678955
913	150.4526037
914	150.3394599
915	150.1917086
916	150.0237648
917	149.913058
918	149.7985991
919	149.7516721
920	149.6456353
921	149.5312171
922	149.4303547
923	149.3050291
924	149.2344221
925	149.1151279
926	149.0096863
927	148.8753618
928	148.7312553
929	148.6260731
930	148.5268856
931	148.3645944
932	148.2300479
933	148.2128102
934	148.1603357
935	148.0251961
936	147.945407
937	147.8776202
938	147.7719914
939	147.6895983
940	147.6190419
941	147.5393681
942	147.3963093
943	147.3245197
944	147.2070061
945	147.0748529
946	146.9578899
947	146.9356648
948	146.8935067
949	146.8299247
950	146.7373936
951	146.6342654
952	146.4711412
953	146.3499983
954	146.2381406
955	146.1316716
956	146.0398384
957	145.8697727
958	145.7900074
959	145.7404529
960	145.6380462
961	145.5503182
962	145.4655868
963	145.322147
964	145.2219951
965	145.0524666
966	144.9248184
967	144.8352343
968	144.6854383
969	144.591071
970	144.4463584
971	144.2439822
972	144.0388223
973	143.9205639
974	143.8030713
975	143.7270979
976	143.5989298
977	143.4878193
978	143.424353
979	143.3415442
980	143.190908
981	143.0825102
982	142.9850925
983	142.9257559
984	142.844153
985	142.7628642
986	142.7103492
987	142.6717204
988	142.6043505
989	142.5642548
990	142.4266357
991	142.3405016
992	142.1900375
993	142.1684859
994	142.0942053
995	141.986715
996	141.8997559
997	141.8733173
998	141.7896336
999	141.6917852
